TF	Target	OddsRatio
AT3G47640	AT1G08320	0
AT3G47640	AT2G43550	0
AT3G47640	AT3G10220	0.922539682539683
AT3G47640	AT4G16000	0
AT3G47640	AT1G62780	0
AT3G47640	AT3G08630	0
AT3G47640	AT5G19120	0.720048355284087
AT3G47640	AT4G36010	0
AT3G47640	AT1G27730	0
AT3G47640	AT3G51000	0.318676965735789
AT3G47640	AT4G16190	0.784839606340621
AT3G47640	AT5G17460	0
AT3G47640	AT3G14595	0.325367965367965
AT3G47640	AT3G04860	0
AT3G47640	AT5G08050	0
AT3G47640	AT5G27670	0.51430364989687
AT3G47640	AT1G19150	0
AT3G47640	AT3G55240	0
AT3G47640	AT3G12970	0
AT2G21230	AT1G69450	0
AT2G21230	AT3G10160	0.792107573587173
AT2G21230	AT2G46310	0.98580121703854
AT3G54620	AT5G65640	0.982890173410405
AT3G54620	AT4G14300	0.805894526511097
AT3G54620	AT5G18200	0.936
AT3G54620	AT4G30890	0.885489479785029
AT3G54620	AT1G07080	0.796443382301258
AT3G54620	AT2G24150	0.477498735884038
AT3G54620	AT3G55240	0
AT2G31730	AT2G43060	0
AT2G31730	AT3G05800	0
AT2G31730	AT2G43550	0
AT2G31730	AT5G14640	0.773861967694567
AT2G31730	AT5G19875	0
AT2G31730	AT5G08580	0
AT2G31730	AT3G24503	0
AT2G31730	AT5G64260	0
AT2G31730	AT4G18010	0
AT2G31730	AT2G39170	0.633783487044357
AT2G31730	AT5G16140	0
AT2G31730	AT1G11220	0
AT2G31730	AT3G03320	0
AT2G31730	AT4G14040	0
AT2G31730	AT3G12970	0
AT2G31730	AT4G26700	0.833692373976734
AT1G45249	AT3G61415	0.930108734536318
AT1G73830	AT2G24260	0
AT1G73830	AT1G51140	0
AT1G73830	AT2G43550	0
AT1G73830	AT1G70760	0
AT1G73830	AT4G16000	0
AT1G73830	AT1G77090	0
AT1G73830	AT1G62710	0
AT1G73830	AT3G11770	0
AT1G73830	AT4G37800	0
AT1G73830	AT4G01050	0.908290413689982
AT1G73830	AT5G18920	0
AT1G73830	AT5G08050	0
AT1G73830	AT3G62970	0
AT1G73830	AT2G26740	0
AT1G73830	AT2G34620	0
AT1G73830	AT3G12970	0
AT1G73830	AT1G06620	0
AT1G73830	AT1G71880	0
AT1G73830	AT2G22470	0
